 ParallelLakes_decHRUfixDE SWAT+ Jun 13 2022    MODULAR Rev 2020.60.5.5                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg             mm             mm             mm
   365    12    30  2020       1      11  aqu011                  662.234          1.115          1.484        668.314          0.000          6.185          0.055          4.929        179.825          0.000          4.087          0.000          4.087          0.000          0.000          0.000          0.000
   365    12    30  2020       2      12  aqu012                  149.061          1.170          0.154        152.648          0.000          3.590          0.246          4.233        179.825          0.000          6.581          0.000          6.581          0.000          0.000          0.000        149.061
   365    12    30  2020       3      21  aqu021                 1496.564          1.006          4.657       1503.661          0.000          7.397          0.102          1.320        179.825          0.000          8.407          0.000          8.408          0.000       1496.564          0.000          0.000
   365    12    30  2020       4      22  aqu022                  161.037          1.168          0.217        164.918          0.000          3.893          0.217          1.142        179.825          0.000          7.010          0.000          7.010          0.000          0.000          0.000        161.037
   365    12    30  2020       5      31  aqu031                  546.179          1.126          1.289        551.785          0.000          5.800          0.122          0.435        179.825          0.000          8.279          0.000          8.280          0.000        546.179          0.000          0.000
   365    12    30  2020       6      32  aqu032                  246.886          1.160          0.418        251.373          0.000          4.535          0.278          0.287        179.825          0.000         11.556          0.000         11.556          0.000          0.000          0.000        246.886
   365    12    30  2020       7      41  aqu041                 3949.808          0.789          8.921       3959.487          0.000          9.944          0.117          1.710        179.825          0.000         10.872          0.000         10.872          0.000       3949.808          0.000          0.000
   365    12    30  2020       8      42  aqu042                  143.467          1.173          0.042        145.892          0.000          2.414          0.525          1.603        179.825          0.000          5.403          0.000          5.405          0.000          0.000          0.000        143.467
   365    12    30  2020       9      51  aqu051                 1250.191          1.040          3.647       1257.247          0.000          7.246          0.153          1.907        179.825          0.000         13.298          0.000         13.298          0.000       1250.191          0.000          0.000
   365    12    30  2020      10      52  aqu052                  100.475          1.175          0.079        103.462          0.000          2.985          0.530          1.347        179.825          0.000          8.293          0.000          8.293          0.000          0.000          0.000        100.475
   365    12    30  2020      11      61  aqu061                  487.728          1.139          0.799        493.340          0.000          5.607          0.250          0.106        179.825          0.000          8.293          0.000          8.293          0.000        487.728          0.000          0.000
   365    12    30  2020      12      62  aqu062                  113.384          1.174          0.062        116.159          0.000          2.772          0.505          0.069        179.825          0.000          7.291          0.000          7.291          0.000          0.000          0.000        113.384
   365    12    30  2020      13      71  aqu071                  462.737          1.140          0.799        468.312          0.000          5.572          0.399          2.252        179.825          0.000         11.719          0.000         11.719          0.000        462.737          0.000          0.000
   365    12    30  2020      14      72  aqu072                  111.101          1.174          0.055        113.814          0.000          2.710          0.548          1.019        179.825          0.000          7.262          0.000          7.263          0.000          0.000          0.000        111.101
   365    12    30  2020      15      81  aqu081                 4793.304          0.673         16.364       4803.449          0.000         10.682          0.150          3.598        179.825          0.000         16.659          0.000         16.658          0.000       4793.304          0.000          0.000
   365    12    30  2020      16      82  aqu082                  174.653          1.169          0.173        178.926          0.000          4.262          0.445          3.434        179.825          0.000         12.067          0.000         12.067          0.000          0.000          0.000        174.653
   365    12    30  2020      17      91  aqu091                 3677.558          0.760         12.824       3686.022          0.000          9.268          0.050          2.311        179.825          0.000          9.725          0.000          9.725          0.000       3677.558          0.000          0.000
   365    12    30  2020      18      92  aqu092                  105.166          1.174          0.078        108.366          0.000          3.201          0.260          2.191        179.825          0.000          6.613          0.000          6.613          0.000          0.000          0.000        105.166
   365    12    30  2020      19     101  aqu101                   81.042          1.176          0.041         83.397          0.000          2.351          1.299          0.027        179.825          0.000         11.309          0.000         11.309          0.000         81.042          0.000          0.000
   365    12    30  2020      20     102  aqu102                    3.005          1.182          0.000          3.232          0.000          0.227          0.919          0.001        179.825          0.000          1.172          0.000          0.858          0.000          0.000          0.000          3.005
   365    12    30  2020      21     111  aqu111                  990.438          1.083          2.219        997.216          0.000          6.806          0.135          1.281        179.825          0.000         11.472          0.000         11.472          0.000        990.438          0.000          0.000
   365    12    30  2020      22     112  aqu112                  146.592          1.172          0.096        149.805          0.000          3.204          0.358          0.853        179.825          0.000          6.440          0.000          6.442          0.000          0.000          0.000        146.592
   365    12    30  2020      23     121  aqu121                  846.735          1.090          2.229        853.339          0.000          6.707          0.274          1.780        179.825          0.000         13.487          0.000         13.487          0.000        846.735          0.000          0.000
   365    12    30  2020      24     122  aqu122                   86.392          1.176          0.065         89.252          0.000          2.862          0.452          1.070        179.825          0.000          6.568          0.000          6.567          0.000          0.000          0.000         86.392
   365    12    30  2020      25     131  aqu131                 1895.399          1.003          3.721       1903.136          0.000          7.927          0.137          4.874        179.825          0.000          7.280          0.000          7.280          0.000       1895.399          0.000          0.000
   365    12    30  2020      26     132  aqu132                   83.654          1.177          0.017         85.339          0.000          1.685          0.389          4.487        179.825          0.000          3.154          0.000          3.157          0.000          0.000          0.000         83.654
   365    12    30  2020      27     141  aqu141                 1477.511          1.019          4.050       1484.914          0.000          7.612          0.125          5.616        179.825          0.000         11.669          0.000         11.670          0.000       1477.511          0.000          0.000
   365    12    30  2020      28     142  aqu142                  137.545          1.172          0.114        140.914          0.000          3.351          0.375          4.400        179.825          0.000          7.470          0.000          7.470          0.000          0.000          0.000        137.545
   365    12    30  2020      29     151  aqu151                 2978.719          0.840          9.130       2986.791          0.000          8.738          0.173          2.879        179.825          0.000         12.592          0.000         12.593          0.000       2978.719          0.000          0.000
   365    12    30  2020      30     152  aqu152                  142.240          1.171          0.119        145.609          0.000          3.355          0.408          2.631        179.825          0.000          7.638          0.000          7.639          0.000          0.000          0.000        142.240
   365    12    30  2020      31     161  aqu161                  904.219          1.087          2.225        910.929          0.000          6.930          0.172          3.018        179.825          0.000          9.687          0.000          9.687          0.000        904.219          0.000          0.000
   365    12    30  2020      32     162  aqu162                  147.505          1.171          0.142        151.088          0.000          3.571          0.549          2.197        179.825          0.000         10.657          0.000         10.657          0.000          0.000          0.000        147.505
   365    12    30  2020      33     171  aqu171                 4362.604          0.709         13.344       4372.300          0.000         10.667          0.063          4.040        179.825          0.000         13.446          0.000         13.448          0.000       4362.604          0.000          0.000
   365    12    30  2020      34     172  aqu172                  130.005          1.173          0.082        133.008          0.000          2.978          0.450          3.916        179.825          0.000          8.295          0.000          8.295          0.000          0.000          0.000        130.005
   365    12    30  2020      35     181  aqu181                 1113.648          1.067          2.689       1121.105          0.000          7.551          0.066          2.224        179.825          0.000          9.608          0.000          9.608          0.000       1113.648          0.000          0.000
   365    12    30  2020      36     182  aqu182                  144.044          1.172          0.108        147.294          0.000          3.224          0.621          1.469        179.825          0.000         10.178          0.000         10.178          0.000          0.000          0.000        144.044
   365    12    30  2020      37     191  aqu191                  530.608          1.128          1.200        536.806          0.000          6.119          0.109          0.655        179.825          0.000         10.627          0.000         10.626          0.000        530.608          0.000          0.000
   365    12    30  2020      38     192  aqu192                  157.436          1.169          0.195        161.248          0.000          3.759          0.635          0.209        179.825          0.000         10.276          0.000         10.275          0.000          0.000          0.000        157.436
   365    12    30  2020      39     201  aqu201                  877.843          1.097          1.811        885.766          0.000          7.841          0.109          1.598        179.825          0.000         12.679          0.000         12.679          0.000        877.843          0.000          0.000
   365    12    30  2020      40     202  aqu202                  154.254          1.171          0.111        158.001          0.000          3.716          0.273          0.969        179.825          0.000          9.000          0.000          9.010          0.000          0.000          0.000        154.254
   365    12    30  2020      41     211  aqu211                 3545.673          0.774         11.684       3553.565          0.000          9.090          0.056          2.889        179.825          0.000         12.647          0.000         12.648          0.000       3545.673          0.000          0.000
   365    12    30  2020      42     212  aqu212                  145.181          1.171          0.131        148.585          0.000          3.399          0.531          2.655        179.825          0.000         11.675          0.000         11.675          0.000          0.000          0.000        145.181
   365    12    30  2020      43     221  aqu221                 1216.010          1.049          3.265       1222.921          0.000          7.259          0.050          0.719        179.825          0.000         10.264          0.000         10.265          0.000       1216.010          0.000          0.000
   365    12    30  2020      44     222  aqu222                  128.894          1.173          0.102        132.110          0.000          3.199          0.346          0.528        179.825          0.000          7.153          0.000          7.153          0.000          0.000          0.000        128.894
   365    12    30  2020      45     231  aqu231                 5956.752          0.628         20.886       5966.660          0.000         11.412          0.037          2.249        179.825          0.000         11.124          0.000         11.125          0.000       5956.752          0.000          0.000
   365    12    30  2020      46     232  aqu232                  138.365          1.172          0.121        142.131          0.000          3.756          0.405          2.240        179.825          0.000         11.321          0.000         11.321          0.000          0.000          0.000        138.365
   365    12    30  2020      47     241  aqu241                 1435.974          1.028          3.729       1443.164          0.000          7.769          0.092          3.964        179.825          0.000          5.915          0.000          5.915          0.000       1435.974          0.000          0.000
   365    12    30  2020      48     242  aqu242                   73.622          1.177          0.029         75.760          0.000          2.138          0.430          3.654        179.825          0.000          5.533          0.000          5.537          0.000          0.000          0.000         73.622
   365    12    30  2020      49     251  aqu251                 3645.837          0.785         10.075       3654.738          0.000          9.663          0.035          2.390        179.825          0.000          7.803          0.000          7.804          0.000       3645.838          0.000          0.000
   365    12    30  2020      50     252  aqu252                  156.853          1.171          0.099        159.995          0.000          3.118          0.354          2.168        179.825          0.000          6.600          0.000          6.600          0.000          0.000          0.000        156.853
   365    12    30  2020      51     261  aqu261                 1304.403          1.041          3.434       1312.000          0.000          7.770          0.052          3.557        179.825          0.000          9.687          0.000          9.687          0.000       1304.403          0.000          0.000
   365    12    30  2020      52     262  aqu262                  109.432          1.174          0.075        112.415          0.000          2.963          0.329          2.629        179.825          0.000          6.252          0.000          6.254          0.000          0.000          0.000        109.432
   365    12    30  2020      53     271  aqu271                  895.018          1.090          2.096        901.823          0.000          7.235          0.183          5.198        179.825          0.000          8.488          0.000          8.489          0.000        895.018          0.000          0.000
   365    12    30  2020      54     272  aqu272                   49.824          1.179          0.015         51.490          0.000          1.666          0.619          4.392        179.825          0.000          5.017          0.000          5.020          0.000          0.000          0.000         49.824
   365    12    30  2020      55     281  aqu281                  342.090          1.148          0.747        347.110          0.000          5.086          0.253          0.003        179.825          0.000         12.336          0.000         12.337          0.000        342.090          0.000          0.000
   365    12    30  2020      56     291  aqu291                 1763.744          0.996          4.452       1772.138          0.000          8.755          0.068          1.067        179.825          0.000         11.163          0.000         11.164          0.000       1763.744          0.000          0.000
   365    12    30  2020      57     292  aqu292                   96.971          1.176          0.037         99.269          0.000          2.286          0.944          0.907        179.825          0.000          9.563          0.000          9.570          0.000          0.000          0.000         96.971
   365    12    30  2020      58     301  aqu301                 1589.474          1.008          4.292       1596.767          0.000          8.282          0.080          0.784        179.825          0.000          7.814          0.000          7.815          0.000       1589.474          0.000          0.000
   365    12    30  2020      59     302  aqu302                   48.651          1.179          0.012         50.014          0.000          1.362          1.276          0.772        179.825          0.000          8.042          0.000          8.048          0.000          0.000          0.000         48.651
   365    12    30  2020      60     311  aqu311                  906.006          1.088          2.163        912.529          0.000          6.929          0.188          1.154        179.825          0.000          6.886          0.000          6.887          0.000        906.006          0.000          0.000
   365    12    30  2020      61     312  aqu312                   50.804          1.179          0.016         52.402          0.000          1.594          0.571          1.120        179.825          0.000          4.776          0.000          4.782          0.000          0.000          0.000         50.804
   365    12    30  2020      62     321  aqu321                   28.506          1.180          0.000         28.857          0.000          0.351          7.301          0.001        179.825          0.000         22.417          0.000         22.449          0.000         28.506          0.000          0.000
   365    12    30  2020      63     322  aqu322                   61.100          1.178          0.007         61.854          0.000          0.749         14.595          0.000        179.825          0.000         33.460          0.000         33.469          0.000          0.000          0.000         61.100
   365    12    30  2020      64     331  aqu331                 1463.090          1.014          4.347       1469.510          0.000          7.473          0.148          1.108        179.825          0.000         10.629          0.000         10.630          0.000       1463.090          0.000          0.000
   365    12    30  2020      65     332  aqu332                   59.117          1.178          0.026         60.987          0.000          1.870          0.434          1.006        179.825          0.000          4.434          0.000          4.435          0.000          0.000          0.000         59.117
   365    12    30  2020      66     341  aqu341                  993.059          1.074          2.644        999.193          0.000          6.738          0.097          0.945        179.825          0.000          4.497          0.000          4.497          0.000        993.059          0.000          0.000
   365    12    30  2020      67     342  aqu342                   37.367          1.180          0.011         38.663          0.000          1.296          0.512          0.897        179.825          0.000          3.537          0.000          3.541          0.000          0.000          0.000         37.367
   365    12    30  2020      68     351  aqu351                 1084.744          1.059          3.166       1091.487          0.000          6.936          0.085          0.427        179.825          0.000         11.532          0.000         11.532          0.000       1084.744          0.000          0.000
   365    12    30  2020      69     352  aqu352                  116.326          1.173          0.112        119.586          0.000          3.260          0.570          0.282        179.825          0.000         11.088          0.000         11.088          0.000          0.000          0.000        116.326
   365    12    30  2020      70     361  aqu361                 1034.534          1.084          2.014       1041.390          0.000          7.069          0.320          1.773        179.825          0.000         14.455          0.000         14.456          0.000       1034.534          0.000          0.000
   365    12    30  2020      71     362  aqu362                   54.165          1.179          0.008         55.403          0.000          1.238          0.666          1.341        179.825          0.000          4.080          0.000          4.085          0.000          0.000          0.000         54.165
   365    12    30  2020      72     371  aqu371                 2223.520          0.920          6.945       2230.411          0.000          8.228          0.015          0.872        179.825          0.000          6.151          0.000          6.152          0.000       2223.520          0.000          0.000
   365    12    30  2020      73     372  aqu372                   57.855          1.178          0.024         59.722          0.000          1.864          0.397          0.839        179.825          0.000          3.722          0.000          3.723          0.000          0.000          0.000         57.855
   365    12    30  2020      74     381  aqu381                 1102.319          1.057          3.178       1108.291          0.000          6.915          0.118          0.459        179.825          0.000          3.875          0.000          3.875          0.000       1102.319          0.000          0.000
   365    12    30  2020      75     382  aqu382                   36.024          1.180          0.011         37.300          0.000          1.276          0.364          0.459        179.825          0.000          2.547          0.000          2.514          0.000          0.000          0.000         36.024
   365    12    30  2020      76     391  aqu391                 1186.860          1.054          3.123       1193.243          0.000          7.137          0.646          0.754        179.825          0.000         18.000          0.000         18.001          0.000       1186.860          0.000          0.000
   365    12    30  2020      77     392  aqu392                   38.313          1.180          0.007         39.390          0.000          1.077          1.998          0.732        179.825          0.000          8.378          0.000          8.187          0.000          0.000          0.000         38.313
   365    12    30  2020      78       1  aqu_deep001               0.000         19.697       2363.667          0.000          0.000          0.000          0.000          0.000        179.825          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
