"id","name","topo","hydro","muid","lu_mgt","soil_plant_init","surf_stor","snow","field","hyd_grp","area_ha","slp"
"       1","hru0001","topohru0001","           hyd0001",167956,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.02,0.056
"       2","hru0002","topohru0002","           hyd0002",167956,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.96,0.04661
"       3","hru0003","topohru0003","           hyd0003",172205,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.05,0.10027
"       4","hru0004","topohru0004","           hyd0004",172202,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.33,0.06272
"       5","hru0005","topohru0005","           hyd0005",167956,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.3,0.0783
"       6","hru0006","topohru0006","           hyd0006",172205,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.35,0.1404
"       7","hru0007","topohru0007","           hyd0007",172107,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.4,0.05682
"       8","hru0008","topohru0008","           hyd0008",172205,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.87,0.16091
"       9","hru0009","topohru0009","           hyd0009",172130,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.73,0.0251
"      10","hru0010","topohru0010","           hyd0010",167956,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",1.39,0.04991
"      11","hru0011","topohru0011","           hyd0011",172107,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.78,0.08901
"      12","hru0012","topohru0012","           hyd0012",172130,"         urml_lum","       soilplant1","             null","          snow001","             null","C",1.74,0.01571
"      13","hru0013","topohru0013","           hyd0013",172205,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.08,0.10335
"      14","hru0014","topohru0014","           hyd0014",172202,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.15,0.10966
"      15","hru0015","topohru0015","           hyd0015",172113,"         urml_lum","       soilplant1","             null","          snow001","             null","A",0.18,0.03231
"      16","hru0016","topohru0016","           hyd0016",172107,"         urml_lum","       soilplant1","             null","          snow001","             null","C",1.49,0.051
"      17","hru0017","topohru0017","           hyd0017",172202,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.13,0.08309
