 ParallelLakes_decHRUfixDE SWAT+ Jun 13 2022    MODULAR Rev 2020.60.5.5                                   
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null      setl_stor     setlp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        setl_in       setlp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null       setl_out      setlp_out
                                                                      ha           ha-m           ha-m           ha-m             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          tons            kgP            m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          tons            kgP            m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          tons            kgP
   365    12    31  2013         1         1  res1                 0.2010E+02     0.2214E+06     0.1052E+06     0.1585E+04     0.2400E+06     0.2905E+02     0.1121E+02     0.3366E+02     0.3141E+03     0.9524E+01     0.3421E+02     0.3444E-01     0.1537E-01     0.0000E+00     0.3140E+06     0.0000E+00     0.1092E-03     0.9036E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8572E+00     0.3040E+00     0.1456E+08     0.2465E+04     0.1901E+04     0.4329E+04     0.2657E+05     0.6535E+03     0.5299E-02     0.5573E+01     0.2043E+01     0.0000E+00     0.7704E+05     0.3628E-02     0.1948E-01     0.3628E-02     0.3628E-02     0.3628E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1468E+08     0.2184E+04     0.1584E+04     0.3928E+04     0.1917E+05     0.6044E+03     0.2968E+04     0.4652E+01     0.1700E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3275E-01     0.5153E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2013         2         2  res2                 0.7527E+01     0.8297E+05     0.3939E+05     0.5934E+03     0.6397E+05     0.7780E+01     0.2240E+01     0.7285E+01     0.7816E+02     0.2381E+01     0.7987E+01     0.7094E-02     0.3454E-02     0.0000E+00     0.1097E+06     0.0000E+00     0.8486E-04     0.7816E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1725E+00     0.2763E-01     0.5333E+07     0.8651E+03     0.6833E+03     0.1575E+04     0.9490E+04     0.2392E+03     0.2028E-02     0.1939E+01     0.7037E+00     0.0000E+00     0.2688E+05     0.3568E-02     0.2407E-01     0.3568E-02     0.3568E-02     0.3568E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5376E+07     0.8087E+03     0.5627E+03     0.1498E+04     0.6815E+04     0.2297E+03     0.1114E+04     0.1605E+01     0.5835E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4339E-01     0.5504E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2013         3         3  res3                 0.6618E+01     0.7292E+05     0.3463E+05     0.5218E+03     0.6326E+05     0.7499E+01     0.2650E+01     0.8024E+01     0.8002E+02     0.2399E+01     0.8434E+01     0.8315E-02     0.3844E-02     0.0000E+00     0.9264E+05     0.0000E+00     0.4953E-02     0.1645E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2458E+00     0.6260E-01     0.4383E+07     0.7288E+03     0.5611E+03     0.1278E+04     0.7903E+04     0.1941E+03     0.1543E-02     0.1645E+01     0.6029E+00     0.0000E+00     0.2273E+05     0.7121E-02     0.5916E+00     0.7121E-02     0.7145E-02     0.7138E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4421E+07     0.6488E+03     0.4662E+03     0.1167E+04     0.5703E+04     0.1806E+03     0.8828E+03     0.1370E+01     0.5015E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1024E+01     0.1016E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2014         1         1  res1                 0.2010E+02     0.2206E+06     0.1045E+06     0.1585E+04     0.2399E+06     0.2035E+02     0.2641E+01     0.9003E+01     0.1916E+03     0.7144E+01     0.1620E+02     0.1023E-01     0.7117E-02     0.0000E+00     0.3918E+06     0.0000E+00     0.2021E-02     0.2750E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6502E+00     0.3278E-01     0.1473E+08     0.2668E+04     0.1689E+04     0.3716E+04     0.1423E+05     0.7383E+03     0.6874E-02     0.5294E+01     0.2056E+01     0.0000E+00     0.7784E+05     0.3628E-02     0.2154E-01     0.3628E-02     0.3628E-02     0.3628E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1484E+08     0.2420E+04     0.1567E+04     0.3500E+04     0.1136E+05     0.7012E+03     0.2870E+04     0.4913E+01     0.1899E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3376E-01     0.4646E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2014         2         2  res2                 0.7527E+01     0.8257E+05     0.3911E+05     0.5934E+03     0.6395E+05     0.5975E+01     0.6694E+00     0.2236E+01     0.4651E+02     0.1800E+01     0.4112E+01     0.2502E-02     0.1770E-02     0.0000E+00     0.1369E+06     0.0000E+00     0.2123E-02     0.2425E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1311E+00     0.3570E-02     0.5408E+07     0.9365E+03     0.6062E+03     0.1353E+04     0.5184E+04     0.2692E+03     0.2525E-02     0.1841E+01     0.7082E+00     0.0000E+00     0.2719E+05     0.3570E-02     0.2744E-01     0.3570E-02     0.3570E-02     0.3570E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5450E+07     0.8855E+03     0.5602E+03     0.1312E+04     0.4153E+04     0.2623E+03     0.1066E+04     0.1705E+01     0.6546E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4580E-01     0.5006E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2014         3         3  res3                 0.6618E+01     0.7261E+05     0.3439E+05     0.5218E+03     0.6324E+05     0.5071E+01     0.6753E+00     0.2234E+01     0.4872E+02     0.1805E+01     0.4103E+01     0.2581E-02     0.1819E-02     0.0000E+00     0.1156E+06     0.0000E+00     0.5069E-01     0.4751E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1866E+00     0.7099E-02     0.4432E+07     0.7889E+03     0.4987E+03     0.1097E+04     0.4262E+04     0.2191E+03     0.2008E-02     0.1562E+01     0.6067E+00     0.0000E+00     0.2297E+05     0.7121E-02     0.6588E+00     0.7121E-02     0.7153E-02     0.7143E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4470E+07     0.7181E+03     0.4623E+03     0.1037E+04     0.3409E+04     0.2090E+03     0.8526E+03     0.1450E+01     0.5610E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1080E+01     0.9220E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2015         1         1  res1                 0.2010E+02     0.2256E+06     0.1087E+06     0.1585E+04     0.2399E+06     0.3645E+02     0.3523E+02     0.8026E+02     0.1682E+03     0.1338E+02     0.6161E+02     0.1162E+00     0.4969E-01     0.0000E+00     0.4586E+06     0.0000E+00     0.2662E-03     0.8333E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9883E+00     0.1528E+01     0.1260E+08     0.2201E+04     0.1288E+04     0.3006E+04     0.1069E+05     0.5706E+03     0.1037E-01     0.3856E+01     0.1446E+01     0.0000E+00     0.6678E+05     0.3628E-02     0.1724E-01     0.3628E-02     0.3628E-02     0.3628E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1272E+08     0.1955E+04     0.1118E+04     0.2673E+04     0.8890E+04     0.5342E+03     0.2154E+04     0.3349E+01     0.1243E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3034E-01     0.4878E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2015         2         2  res2                 0.7527E+01     0.8462E+05     0.4070E+05     0.5935E+03     0.6395E+05     0.9475E+01     0.8795E+01     0.2112E+02     0.4903E+02     0.3700E+01     0.1635E+02     0.2856E-01     0.1265E-01     0.0000E+00     0.1602E+06     0.0000E+00     0.1867E-03     0.5828E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1969E+00     0.1978E+00     0.4628E+07     0.7723E+03     0.4629E+03     0.1090E+04     0.3864E+04     0.2080E+03     0.3826E-02     0.1341E+01     0.4979E+00     0.0000E+00     0.2332E+05     0.3568E-02     0.2217E-01     0.3568E-02     0.3568E-02     0.3568E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4672E+07     0.7203E+03     0.4045E+03     0.1021E+04     0.3216E+04     0.2004E+03     0.8077E+03     0.1175E+01     0.4329E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4045E-01     0.5155E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2015         3         3  res3                 0.6618E+01     0.7436E+05     0.3579E+05     0.5218E+03     0.6324E+05     0.9353E+01     0.8963E+01     0.2054E+02     0.4627E+02     0.3510E+01     0.1592E+02     0.2979E-01     0.1296E-01     0.0000E+00     0.1353E+06     0.0000E+00     0.5578E-02     0.1377E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2834E+00     0.3585E+00     0.3799E+07     0.6509E+03     0.3802E+03     0.8872E+03     0.3203E+04     0.1695E+03     0.3037E-02     0.1138E+01     0.4265E+00     0.0000E+00     0.1970E+05     0.7121E-02     0.5345E+00     0.7121E-02     0.7136E-02     0.7131E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3838E+07     0.5810E+03     0.3315E+03     0.7968E+03     0.2667E+04     0.1596E+03     0.6426E+03     0.9929E+00     0.3689E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9520E+00     0.9584E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
